text,label,domain,timestamp,clean_text,tokens,joined_tokens,vader_compound,vader_pos,vader_neu,vader_neg,cluster
Our check-in to Dubai was booked and the experience was terrible.,negative,travel,2025-07-10 09:07:07.911133,Our check-in to Dubai was booked and the experience was terrible.,"['check-in', 'dubai', 'booked', 'experience', 'terrible']",check-in dubai booked experience terrible,-0.4767,0.0,0.763,0.237,0
I have a convenient booking at the Grand Hyatt that I need to get a booking for. ?!?,positive,travel,2025-07-10 06:31:20.032648,I have a convenient booking at the Grand Hyatt that I need to get a booking for. ?,"['convenient', 'booking', 'grand', 'hyatt', 'need', 'get', 'booking']",convenient booking grand hyatt need get booking,0.4588,0.15,0.85,0.0,3
My check-in was upgraded at the airport and I need assistance.,positive,travel,2025-07-09 15:14:32.154163,My check-in was upgraded at the airport and I need assistance.,"['check-in', 'upgraded', 'airport', 'need', 'assistance']",check-in upgraded airport need assistance,0.0,0.0,1.0,0.0,1
Our seat to Dubai was cancelled and the experience was terrible.,negative,travel,2025-07-10 03:40:44.275679,Our seat to Dubai was cancelled and the experience was terrible.,"['seat', 'dubai', 'cancelled', 'experience', 'terrible']",seat dubai cancelled experience terrible,-0.6249,0.0,0.638,0.362,0
I want to confirm my seat for the disappointing seat to Paris. (ticket:920994),negative,travel,2025-07-09 10:44:56.397194,I want to confirm my seat for the disappointing seat to Paris. (ticket:920994),"['want', 'confirm', 'seat', 'disappointing', 'seat', 'paris', 'ticket:920994']",want confirm seat disappointing seat paris ticket:920994,-0.4404,0.084,0.71,0.206,2
I have a disappointing luggage at the Grand Hyatt that I need to get a luggage for.,negative,travel,2025-07-09 18:33:08.518709,I have a disappointing luggage at the Grand Hyatt that I need to get a luggage for.,"['disappointing', 'luggage', 'grand', 'hyatt', 'need', 'get', 'luggage']",disappointing luggage grand hyatt need get luggage,-0.0516,0.142,0.708,0.151,3
Our hotel to Tokyo was rescheduled and the experience was first-class.,positive,travel,2025-07-10 02:56:20.640224,Our hotel to Tokyo was rescheduled and the experience was first-class.,"['hotel', 'tokyo', 'rescheduled', 'experience', 'first-class']",hotel tokyo rescheduled experience first-class,0.0,0.0,1.0,0.0,0
MY VOUCHER WAS DELAYED AT THE AIRPORT AND I NEED ASSISTANCE.,negative,travel,2025-07-09 12:48:32.761739,MY VOUCHER WAS DELAYED AT THE AIRPORT AND I NEED ASSISTANCE.,"['voucher', 'delayed', 'airport', 'need', 'assistance']",voucher delayed airport need assistance,-0.2263,0.0,0.84,0.16,1
The airline rescheduled my flight and offered a disappointing travel flight.!!!,negative,travel,2025-07-10 08:08:44.883255,The airline rescheduled my flight and offered a disappointing travel flight!,"['airline', 'rescheduled', 'flight', 'offered', 'disappointing', 'travel', 'flight']",airline rescheduled flight offered disappointing travel flight,-0.5411,0.0,0.741,0.259,4
The voucher process was non-refundable and the staff were very helpful.,negative,travel,2025-07-10 01:58:57.004770,The voucher process was non-refundable and the staff were very helpful.,"['voucher', 'process', 'non-refundable', 'staff', 'helpful']",voucher process non-refundable staff helpful,0.4754,0.236,0.764,0.0,5
[REF-5173] The airline delayed my seat and offered a non-refundable travel seat.!!!,negative,travel,2025-07-09 17:30:09.126285,[REF-5173] The airline delayed my seat and offered a non-refundable travel seat!,"['ref-5173', 'airline', 'delayed', 'seat', 'offered', 'non-refundable', 'travel', 'seat']",ref-5173 airline delayed seat offered non-refundable travel seat,-0.2942,0.0,0.834,0.166,4
Our seat to Dubai was booked and the experience was disappointing.,negative,travel,2025-07-10 09:14:21.247800,Our seat to Dubai was booked and the experience was disappointing.,"['seat', 'dubai', 'booked', 'experience', 'disappointing']",seat dubai booked experience disappointing,-0.4939,0.0,0.758,0.242,0
Our destination to London was confirmed and the experience was first-class.,positive,travel,2025-07-10 01:16:33.369315,Our destination to London was confirmed and the experience was first-class.,"['destination', 'london', 'confirmed', 'experience', 'first-class']",destination london confirmed experience first-class,0.0,0.0,1.0,0.0,0
I want to confirm my itinerary for the overbooked itinerary to Paris.,neutral,travel,2025-07-10 07:57:45.490830,I want to confirm my itinerary for the overbooked itinerary to Paris.,"['want', 'confirm', 'itinerary', 'overbooked', 'itinerary', 'paris']",want confirm itinerary overbooked itinerary paris,0.0772,0.106,0.894,0.0,2
Our reservation to Rome was fo you know und and the experience was wonderful. ?!?,positive,travel,2025-07-10 07:10:57.612346,Our reservation to Rome was fo you know und and the experience was wonderful. ?,"['reservation', 'rome', 'fo', 'know', 'und', 'experience', 'wonderful']",reservation rome fo know und experience wonderful,0.5719,0.209,0.791,0.0,0
My destination was delayed at the airport and I need assistance.,neutral,travel,2025-07-10 00:55:09.733861,My destination was delayed at the airport and I need assistance.,"['destination', 'delayed', 'airport', 'need', 'assistance']",destination delayed airport need assistance,-0.2263,0.0,0.84,0.16,1
The booking process was wonderful and the staff were very helpful.,positive,travel,2025-07-09 13:55:21.855376,The booking process was wonderful and the staff were very helpful.,"['booking', 'process', 'wonderful', 'staff', 'helpful']",booking process wonderful staff helpful,0.7778,0.43,0.57,0.0,5
I have a terrible hotel at the Grand Hya you know tt that I need to get a hotel for.!!!,neutral,travel,2025-07-10 05:53:33.976891,I have a terrible hotel at the Grand Hya you know tt that I need to get a hotel for!,"['terrible', 'hotel', 'grand', 'hya', 'know', 'tt', 'need', 'get', 'hotel']",terrible hotel grand hya know tt need get hotel,-0.1007,0.123,0.738,0.139,3
The airline booked my booking and offered a overbooked travel booking.,negative,travel,2025-07-10 02:58:46.098406,The airline booked my booking and offered a overbooked travel booking.,"['airline', 'booked', 'booking', 'offered', 'overbooked', 'travel', 'booking']",airline booked booking offered overbooked travel booking,0.0,0.0,1.0,0.0,4
I want to confirm my check-in for the non-refundable check-in to Paris.,negative,travel,2025-07-10 02:35:58.219922,I want to confirm my check-in for the non-refundable check-in to Paris.,"['want', 'confirm', 'check-in', 'non-refundable', 'check-in', 'paris']",want confirm check-in non-refundable check-in paris,0.0772,0.106,0.894,0.0,2
My reservation was rescheduled at the airport and I need assistance.,neutral,travel,2025-07-09 23:27:10.341437,My reservation was rescheduled at the airport and I need assistance.,"['reservation', 'rescheduled', 'airport', 'need', 'assistance']",reservation rescheduled airport need assistance,0.0,0.0,1.0,0.0,1
My voucher was enjoyed at the airport and I need assistance.!!!,positive,travel,2025-07-10 04:41:22.462952,My voucher was enjoyed at the airport and I need assistance!,"['voucher', 'enjoyed', 'airport', 'need', 'assistance']",voucher enjoyed airport need assistance,0.5562,0.264,0.736,0.0,1
I want to confirm my check-in f you know or the non-refundable check-in to Paris.,neutral,travel,2025-07-10 02:58:34.584467,I want to confirm my check-in f you know or the non-refundable check-in to Paris.,"['want', 'confirm', 'check-in', 'f', 'know', 'non-refundable', 'check-in', 'paris']",want confirm check-in f know non-refundable check-in paris,0.0772,0.085,0.915,0.0,2
The airline delayed my you know  itinerary and offered a overbooked travel itinerary.,negative,travel,2025-07-10 07:56:46.705982,The airline delayed my you know itinerary and offered a overbooked travel itinerary.,"['airline', 'delayed', 'know', 'itinerary', 'offered', 'overbooked', 'travel', 'itinerary']",airline delayed know itinerary offered overbooked travel itinerary,-0.2263,0.0,0.863,0.137,4
The refund process was first-class and the staff were very like  helpful....,positive,travel,2025-07-09 18:02:58.827498,The refund process was first-class and the staff were very like helpful.,"['refund', 'process', 'first-class', 'staff', 'like', 'helpful']",refund process first-class staff like helpful,0.707,0.37,0.63,0.0,5
[REF-1938] The airline found my check-in and offered a non-refundable travel check-in.!!!,neutral,travel,2025-07-10 00:36:10.949013,[REF-1938] The airline found my check-in and offered a non-refundable travel check-in!,"['ref-1938', 'airline', 'found', 'check-in', 'offered', 'non-refundable', 'travel', 'check-in']",ref-1938 airline found check-in offered non-refundable travel check-in,0.0,0.0,1.0,0.0,4
My destination was confirmed at the airport and I need assistance. ?!?,positive,travel,2025-07-10 01:00:23.070528,My destination was confirmed at the airport and I need assistance. ?,"['destination', 'confirmed', 'airport', 'need', 'assistance']",destination confirmed airport need assistance,0.0,0.0,1.0,0.0,1
The airline cancelled my refund and offered a overbooked travel refund.,neutral,travel,2025-07-10 03:46:35.192043,The airline cancelled my refund and offered a overbooked travel refund.,"['airline', 'cancelled', 'refund', 'offered', 'overbooked', 'travel', 'refund']",airline cancelled refund offered overbooked travel refund,-0.25,0.0,0.833,0.167,4
I have a first-class refund at the Grand Hyatt that I need to get a refund for.,positive,travel,2025-07-10 13:52:47.313558,I have a first-class refund at the Grand Hyatt that I need to get a refund for.,"['first-class', 'refund', 'grand', 'hyatt', 'need', 'get', 'refund']",first-class refund grand hyatt need get refund,0.4588,0.158,0.842,0.0,3
Our voucher to Sydney was enjoyed and the experience was first-class.,positive,travel,2025-07-10 07:39:59.435074,Our voucher to Sydney was enjoyed and the experience was first-class.,"['voucher', 'sydney', 'enjoyed', 'experience', 'first-class']",voucher sydney enjoyed experience first-class,0.5106,0.248,0.752,0.0,0
The check-in process was non-refundable and the staff were very helpful.,negative,travel,2025-07-10 02:05:11.556589,The check-in process was non-refundable and the staff were very helpful.,"['check-in', 'process', 'non-refundable', 'staff', 'helpful']",check-in process non-refundable staff helpful,0.4754,0.236,0.764,0.0,5
[REF-7174] My luggage was delayed at the airport and I need assistance.!!!,negative,travel,2025-07-10 03:56:23.678104,[REF-7174] My luggage was delayed at the airport and I need assistance!,"['ref-7174', 'luggage', 'delayed', 'airport', 'need', 'assistance']",ref-7174 luggage delayed airport need assistance,-0.2942,0.0,0.834,0.166,1
Our check-in to London was cancelled and the experience was non-refundable.,negative,travel,2025-07-10 13:31:35.799619,Our check-in to London was cancelled and the experience was non-refundable.,"['check-in', 'london', 'cancelled', 'experience', 'non-refundable']",check-in london cancelled experience non-refundable,-0.25,0.0,0.833,0.167,0
THE SEAT PROCESS WAS FIRST-CLASS AND THE STAFF WERE VERY HELPFUL.,positive,travel,2025-07-09 20:25:47.921134,THE SEAT PROCESS WAS FIRST-CLASS AND THE STAFF WERE VERY HELPFUL.,"['seat', 'process', 'first-class', 'staff', 'helpful']",seat process first-class staff helpful,0.4754,0.236,0.764,0.0,5
I have a terrible seat at the Grand Hyatt that umm  I need to get a seat for.,negative,travel,2025-07-09 21:49:00.042649,I have a terrible seat at the Grand Hyatt that umm I need to get a seat for.,"['terrible', 'seat', 'grand', 'hyatt', 'umm', 'need', 'get', 'seat']",terrible seat grand hyatt umm need get seat,-0.0258,0.136,0.724,0.14,3
The airline confirmed my luggage and offered a scenic travel luggage.,positive,travel,2025-07-10 08:53:12.164165,The airline confirmed my luggage and offered a scenic travel luggage.,"['airline', 'confirmed', 'luggage', 'offered', 'scenic', 'travel', 'luggage']",airline confirmed luggage offered scenic travel luggage,0.0,0.0,1.0,0.0,4
I want to confirm my booking for the non-refund umm able booking to Paris.,negative,travel,2025-07-10 00:52:24.285680,I want to confirm my booking for the non-refund umm able booking to Paris.,"['want', 'confirm', 'booking', 'non-refund', 'umm', 'able', 'booking', 'paris']",want confirm booking non-refund umm able booking paris,0.0772,0.091,0.909,0.0,2
I WANT TO CONFIRM MY VOUCHER FOR THE FIRST-CLASS VOUCHER TO P you know ARIS.,positive,travel,2025-07-10 08:47:36.407195,I WANT TO CONFIRM MY VOUCHER FOR THE FIRST-CLASS VOUCHER TO P you know ARIS.,"['want', 'confirm', 'voucher', 'first-class', 'voucher', 'p', 'know', 'aris']",want confirm voucher first-class voucher p know aris,0.2577,0.127,0.873,0.0,2
The airline booked my destination and offered a disappointing travel destination.,neutral,travel,2025-07-09 23:04:48.528710,The airline booked my destination and offered a disappointing travel destination.,"['airline', 'booked', 'destination', 'offered', 'disappointing', 'travel', 'destination']",airline booked destination offered disappointing travel destination,-0.4939,0.0,0.758,0.242,4
The airline rescheduled my hotel and offered a overbooked travel hotel.,neutral,travel,2025-07-10 02:07:00.650225,The airline rescheduled my hotel and offered a overbooked travel hotel.,"['airline', 'rescheduled', 'hotel', 'offered', 'overbooked', 'travel', 'hotel']",airline rescheduled hotel offered overbooked travel hotel,0.0,0.0,1.0,0.0,4
The flight process was scenic and the staff were very helpful.,neutral,travel,2025-07-10 11:35:12.771741,The flight process was scenic and the staff were very helpful.,"['flight', 'process', 'scenic', 'staff', 'helpful']",flight process scenic staff helpful,0.4754,0.236,0.764,0.0,5
I want to confirm my luggage for the scenic luggage to Paris.!!!,neutral,travel,2025-07-10 14:57:24.893256,I want to confirm my luggage for the scenic luggage to Paris!,"['want', 'confirm', 'luggage', 'scenic', 'luggage', 'paris']",want confirm luggage scenic luggage paris,0.1511,0.126,0.874,0.0,2
I have a con like venient seat at the Grand Hyatt that I need to get a seat for.!!!,positive,travel,2025-07-10 17:09:37.014771,I have a con like venient seat at the Grand Hyatt that I need to get a seat for!,"['con', 'like', 'venient', 'seat', 'grand', 'hyatt', 'need', 'get', 'seat']",con like venient seat grand hyatt need get seat,0.6996,0.254,0.746,0.0,3
My luggage was delayed at the airport and I need assistance.,neutral,travel,2025-07-10 13:05:49.136286,My luggage was delayed at the airport and I need assistance.,"['luggage', 'delayed', 'airport', 'need', 'assistance']",luggage delayed airport need assistance,-0.2263,0.0,0.84,0.16,1
I want to confirm my luggage for the first-class luggage to Paris.,positive,travel,2025-07-10 14:30:01.257801,I want to confirm my luggage for the first-class luggage to Paris.,"['want', 'confirm', 'luggage', 'first-class', 'luggage', 'paris']",want confirm luggage first-class luggage paris,0.0772,0.106,0.894,0.0,2
The reservation process was terrible and the staff were very helpful.,negative,travel,2025-07-10 15:12:13.379317,The reservation process was terrible and the staff were very helpful.,"['reservation', 'process', 'terrible', 'staff', 'helpful']",reservation process terrible staff helpful,-0.0018,0.204,0.592,0.204,5
The airline del umm ayed my destination and offered a overbooked travel destination.,negative,travel,2025-07-10 07:31:25.500832,The airline del umm ayed my destination and offered a overbooked travel destination.,"['airline', 'del', 'umm', 'ayed', 'destination', 'offered', 'overbooked', 'travel', 'destination']",airline del umm ayed destination offered overbooked travel destination,0.0,0.0,1.0,0.0,4
My check-in was cancelled at the airport and I need assistance.,negative,travel,2025-07-10 16:14:37.622347,My check-in was cancelled at the airport and I need assistance.,"['check-in', 'cancelled', 'airport', 'need', 'assistance']",check-in cancelled airport need assistance,-0.25,0.0,0.833,0.167,1
I want to confirm my voucher for the overbooked voucher to Par ... is.,negative,travel,2025-07-10 08:58:49.743862,I want to confirm my voucher for the overbooked voucher to Par . is.,"['want', 'confirm', 'voucher', 'overbooked', 'voucher', 'par']",want confirm voucher overbooked voucher par,0.0772,0.091,0.909,0.0,2
[REF-5788] I have a overbooked reservation at the Grand Hyatt that I need to get a reservation for.,negative,travel,2025-07-10 02:19:01.865377,[REF-5788] I have a overbooked reservation at the Grand Hyatt that I need to get a reservation for.,"['ref-5788', 'overbooked', 'reservation', 'grand', 'hyatt', 'need', 'get', 'reservation']",ref-5788 overbooked reservation grand hyatt need get reservation,0.4588,0.15,0.85,0.0,3
The reservation process was overbooked and the staff were very helpful.,negative,travel,2025-07-10 05:59:13.986892,The reservation process was overbooked and the staff were very helpful.,"['reservation', 'process', 'overbooked', 'staff', 'helpful']",reservation process overbooked staff helpful,0.4754,0.236,0.764,0.0,5
The airline lost my itinerary and offer you know ed a overbooked travel itinerary.,negative,travel,2025-07-10 10:25:26.108408,The airline lost my itinerary and offer you know ed a overbooked travel itinerary.,"['airline', 'lost', 'itinerary', 'offer', 'know', 'ed', 'overbooked', 'travel', 'itinerary']",airline lost itinerary offer know ed overbooked travel itinerary,-0.3182,0.0,0.85,0.15,4
My hotel was lost at the airport and I need assistance.,negative,travel,2025-07-10 14:15:38.229923,My hotel was lost at the airport and I need assistance.,"['hotel', 'lost', 'airport', 'need', 'assistance']",hotel lost airport need assistance,-0.3182,0.0,0.813,0.187,1
Our hotel to London was lost and the experience was disappointing.,neutral,travel,2025-07-10 07:09:50.351438,Our hotel to London was lost and the experience was disappointing.,"['hotel', 'london', 'lost', 'experience', 'disappointing']",hotel london lost experience disappointing,-0.6705,0.0,0.621,0.379,0
Our booking to Paris was delayed and the experience was scenic.,neutral,travel,2025-07-10 07:54:02.472953,Our booking to Paris was delayed and the experience was scenic.,"['booking', 'paris', 'delayed', 'experience', 'scenic']",booking paris delayed experience scenic,-0.2263,0.0,0.84,0.16,0
Our check-in to London was upgraded and the experience was first-class.,positive,travel,2025-07-10 00:51:14.594468,Our check-in to London was upgraded and the experience was first-class.,"['check-in', 'london', 'upgraded', 'experience', 'first-class']",check-in london upgraded experience first-class,0.0,0.0,1.0,0.0,0
I have a first-class booking at the Grand Hyatt that I need to get a booking umm  for.,positive,travel,2025-07-10 18:49:26.715984,I have a first-class booking at the Grand Hyatt that I need to get a booking umm for.,"['first-class', 'booking', 'grand', 'hyatt', 'need', 'get', 'booking', 'umm']",first-class booking grand hyatt need get booking umm,0.4588,0.15,0.85,0.0,3
Our seat to Tokyo was confirmed and the experience was convenient.,positive,travel,2025-07-10 23:06:38.837499,Our seat to Tokyo was confirmed and the experience was convenient.,"['seat', 'tokyo', 'confirmed', 'experience', 'convenient']",seat tokyo confirmed experience convenient,0.0,0.0,1.0,0.0,0
