text,label,domain,timestamp,clean_text,tokens,joined_tokens
I would like to inquire about the statement on my savings account.,neutral,banking,2025-07-09 07:07:01.534908,I would like to inquire about the statement on my savings account.,"['would', 'like', 'inquire', 'statement', 'saving', 'account']",would like inquire statement saving account
I would like to inquire about the credit card on my savings account.,negative,banking,2025-07-09 08:05:13.656423,I would like to inquire about the credit card on my savings account.,"['would', 'like', 'inquire', 'credit', 'card', 'saving', 'account']",would like inquire credit card saving account
A declined transaction of $2341.66 on my transaction was withdrew.,neutral,banking,2025-07-09 06:51:25.777938,A declined transaction of $2341.66 on my transaction was withdrew.,"['declined', 'transaction', '2341.66', 'transaction', 'withdrew']",declined transaction 2341.66 transaction withdrew
I am writing to report a high-value issue with my interest rate.!!!,neutral,banking,2025-07-09 17:09:37.899453,I am writing to report a high-value issue with my interest rate!,"['writing', 'report', 'high-value', 'issue', 'interest', 'rate']",writing report high-value issue interest rate
My recent account for $3605.25 has not been processed correctly.,negative,banking,2025-07-09 07:21:50.020968,My recent account for $3605.25 has not been processed correctly.,"['recent', 'account', '3605.25', 'processed', 'correctly']",recent account 3605.25 processed correctly
I am writing to report a unauthorized issue with my mortgage....,negative,banking,2025-07-09 18:43:02.142484,I am writing to report a unauthorized issue with my mortgage.,"['writing', 'report', 'unauthorized', 'issue', 'mortgage']",writing report unauthorized issue mortgage
The account was withdrew due to insufficient funds.,neutral,banking,2025-07-10 04:09:14.263999,The account was withdrew due to insufficient funds.,"['account', 'withdrew', 'due', 'insufficient', 'fund']",account withdrew due insufficient fund
A declined transaction of $4718.47 on my statement was denied.,negative,banking,2025-07-09 23:56:26.385514,A declined transaction of $4718.47 on my statement was denied.,"['declined', 'transaction', '4718.47', 'statement', 'denied']",declined transaction 4718.47 statement denied
THERE IS A UNAUTHORIZED HOLD ON MY FRAUD THAT NEEDS TO BE INVESTIGATED.,negative,banking,2025-07-10 02:00:38.507029,THERE IS A UNAUTHORIZED HOLD ON MY FRAUD THAT NEEDS TO BE INVESTIGATED.,"['unauthorized', 'hold', 'fraud', 'need', 'investigated']",unauthorized hold fraud need investigated
I would like to inquire about the mortgage on my savings account.,neutral,banking,2025-07-09 23:24:50.628544,I would like to inquire about the mortgage on my savings account.,"['would', 'like', 'inquire', 'mortgage', 'saving', 'account']",would like inquire mortgage saving account
A successful transaction of $4100.88 on my transaction was approved.,positive,banking,2025-07-10 05:03:02.750060,A successful transaction of $4100.88 on my transaction was approved.,"['successful', 'transaction', '4100.88', 'transaction', 'approved']",successful transaction 4100.88 transaction approved
My recent interest rate for $4039.12 has not been processed correctly.,positive,banking,2025-07-09 22:23:14.871575,My recent interest rate for $4039.12 has not been processed correctly.,"['recent', 'interest', 'rate', '4039.12', 'processed', 'correctly']",recent interest rate 4039.12 processed correctly
I would like to inquire about the deposit on my savings acc you know ount.,positive,banking,2025-07-09 13:41:26.993090,I would like to inquire about the deposit on my savings acc you know ount.,"['would', 'like', 'inquire', 'deposit', 'saving', 'acc', 'know', 'ount']",would like inquire deposit saving acc know ount
My recent interest r ... ate for $3460.16 has not been processed correctly.,neutral,banking,2025-07-09 21:18:39.114605,My recent interest r . ate for $3460.16 has not been processed correctly.,"['recent', 'interest', 'r', 'ate', '3460.16', 'processed', 'correctly']",recent interest r ate 3460.16 processed correctly
A urgent transaction of $136.77 on my mortgage was disputed....,neutral,banking,2025-07-09 21:50:51.236120,A urgent transaction of $136.77 on my mortgage was disputed.,"['urgent', 'transaction', '136.77', 'mortgage', 'disputed']",urgent transaction 136.77 mortgage disputed
I am writing to report a pending issue with my statement.,neutral,banking,2025-07-09 20:18:03.357636,I am writing to report a pending issue with my statement.,"['writing', 'report', 'pending', 'issue', 'statement']",writing report pending issue statement
 you know My recent loan for $389.48 has not been processed correctly.,neutral,banking,2025-07-09 19:51:15.479151,you know My recent loan for $389.48 has not been processed correctly.,"['know', 'recent', 'loan', '389.48', 'processed', 'correctly']",know recent loan 389.48 processed correctly
My recent fraud for $2531.29 has not been processed correctly.,neutral,banking,2025-07-09 14:26:27.600666,My recent fraud for $2531.29 has not been processed correctly.,"['recent', 'fraud', '2531.29', 'processed', 'correctly']",recent fraud 2531.29 processed correctly
There is a pending hold on my deposit that needs to be flagged.!!!,positive,banking,2025-07-09 22:44:39.722181,There is a pending hold on my deposit that needs to be flagged!,"['pending', 'hold', 'deposit', 'need', 'flagged']",pending hold deposit need flagged
I would like to inquire about the fraud on my savings account.,neutral,banking,2025-07-10 05:05:51.843696,I would like to inquire about the fraud on my savings account.,"['would', 'like', 'inquire', 'fraud', 'saving', 'account']",would like inquire fraud saving account
The overdraft was flagged due to insufficient funds.,negative,banking,2025-07-10 00:30:03.965212,The overdraft was flagged due to insufficient funds.,"['overdraft', 'flagged', 'due', 'insufficient', 'fund']",overdraft flagged due insufficient fund
A erroneous transaction of $4472.55 on my fraud was charged.,negative,banking,2025-07-09 15:46:16.086727,A erroneous transaction of $4472.55 on my fraud was charged.,"['erroneous', 'transaction', '4472.55', 'fraud', 'charged']",erroneous transaction 4472.55 fraud charged
I like  am writing to report a high-value issue with my deposit.,positive,banking,2025-07-10 03:50:28.208242,I like am writing to report a high-value issue with my deposit.,"['like', 'writing', 'report', 'high-value', 'issue', 'deposit']",like writing report high-value issue deposit
A successful transaction of $4956.34 on my balance was charged.,positive,banking,2025-07-10 05:35:40.329757,A successful transaction of $4956.34 on my balance was charged.,"['successful', 'transaction', '4956.34', 'balance', 'charged']",successful transaction 4956.34 balance charged
I would like to inquire about the transaction on my savings account.,neutral,banking,2025-07-10 08:17:52.451272,I would like to inquire about the transaction on my savings account.,"['would', 'like', 'inquire', 'transaction', 'saving', 'account']",would like inquire transaction saving account
I am writing to report a unauthorized issue with my overdraft.,negative,banking,2025-07-10 09:24:04.572787,I am writing to report a unauthorized issue with my overdraft.,"['writing', 'report', 'unauthorized', 'issue', 'overdraft']",writing report unauthorized issue overdraft
There is a urgent h you know old on my loan that needs to be transferred.,neutral,banking,2025-07-10 09:27:16.694303,There is a urgent h you know old on my loan that needs to be transferred.,"['urgent', 'h', 'know', 'old', 'loan', 'need', 'transferred']",urgent h know old loan need transferred
I would like to inquire about the mortgage on my savings account.,positive,banking,2025-07-10 06:04:28.815818,I would like to inquire about the mortgage on my savings account.,"['would', 'like', 'inquire', 'mortgage', 'saving', 'account']",would like inquire mortgage saving account
My recent credit card for $2616.36 has not been processed correctly.,positive,banking,2025-07-09 22:56:40.937333,My recent credit card for $2616.36 has not been processed correctly.,"['recent', 'credit', 'card', '2616.36', 'processed', 'correctly']",recent credit card 2616.36 processed correctly
[REF-7335] A urgent transaction of $4754.46 on my fraud was disputed.,neutral,banking,2025-07-09 18:00:53.058848,[REF-7335] A urgent transaction of $4754.46 on my fraud was disputed.,"['ref-7335', 'urgent', 'transaction', '4754.46', 'fraud', 'disputed']",ref-7335 urgent transaction 4754.46 fraud disputed
A successful transaction of $1791.35 on my credit card was transferred.,positive,banking,2025-07-09 16:07:05.180363,A successful transaction of $1791.35 on my credit card was transferred.,"['successful', 'transaction', '1791.35', 'credit', 'card', 'transferred']",successful transaction 1791.35 credit card transferred
I would like to inquire about the interest rate on my savings account.,negative,banking,2025-07-09 23:23:17.301879,I would like to inquire about the interest rate on my savings account.,"['would', 'like', 'inquire', 'interest', 'rate', 'saving', 'account']",would like inquire interest rate saving account
I am writing to report a unauthorized issue with my payment.,neutral,banking,2025-07-10 09:43:29.423394,I am writing to report a unauthorized issue with my payment.,"['writing', 'report', 'unauthorized', 'issue', 'payment']",writing report unauthorized issue payment
My recent credit card for $3226.2 has not been processed correctly.,positive,banking,2025-07-10 07:52:41.544909,My recent credit card for $3226.2 has not been processed correctly.,"['recent', 'credit', 'card', '3226.2', 'processed', 'correctly']",recent credit card 3226.2 processed correctly
The credit ca like rd was withdrew due to insufficient funds.,neutral,banking,2025-07-10 00:58:53.666424,The credit ca like rd was withdrew due to insufficient funds.,"['credit', 'ca', 'like', 'rd', 'withdrew', 'due', 'insufficient', 'fund']",credit ca like rd withdrew due insufficient fund
I am writing to report a declined issue with my fraud. ?!?,negative,banking,2025-07-09 22:08:05.787939,I am writing to report a declined issue with my fraud. ?,"['writing', 'report', 'declined', 'issue', 'fraud']",writing report declined issue fraud
There is a unauthorized hold on my mortgage that needs to b you know e deposited.,neutral,banking,2025-07-10 12:31:17.909455,There is a unauthorized hold on my mortgage that needs to b you know e deposited.,"['unauthorized', 'hold', 'mortgage', 'need', 'b', 'know', 'e', 'deposited']",unauthorized hold mortgage need b know e deposited
I am writing to report a unauthorized issue with my mortgage.,neutral,banking,2025-07-10 03:05:30.030970,I am writing to report a unauthorized issue with my mortgage.,"['writing', 'report', 'unauthorized', 'issue', 'mortgage']",writing report unauthorized issue mortgage
A suspicious transaction of $2356.03 on my overdraft was disputed.,neutral,banking,2025-07-10 11:58:42.152485,A suspicious transaction of $2356.03 on my overdraft was disputed.,"['suspicious', 'transaction', '2356.03', 'overdraft', 'disputed']",suspicious transaction 2356.03 overdraft disputed
My recent deposit for $4486.43 has not been processed correctly.,positive,banking,2025-07-10 01:20:54.274000,My recent deposit for $4486.43 has not been processed correctly.,"['recent', 'deposit', '4486.43', 'processed', 'correctly']",recent deposit 4486.43 processed correctly
I am writing to report a declined issue with my mortgage.,neutral,banking,2025-07-10 02:57:06.395515,I am writing to report a declined issue with my mortgage.,"['writing', 'report', 'declined', 'issue', 'mortgage']",writing report declined issue mortgage
My recent deposit for $2041.05 has not been processed correctly.,positive,banking,2025-07-10 05:59:18.517031,My recent deposit for $2041.05 has not been processed correctly.,"['recent', 'deposit', '2041.05', 'processed', 'correctly']",recent deposit 2041.05 processed correctly
The credit card was transferred due to insufficient funds.,negative,banking,2025-07-09 18:19:30.638546,The credit card was transferred due to insufficient funds.,"['credit', 'card', 'transferred', 'due', 'insufficient', 'fund']",credit card transferred due insufficient fund
My recent fraud for $694.94 has not been processed correctly....,neutral,banking,2025-07-10 07:07:42.760061,My recent fraud for $694.94 has not been processed correctly.,"['recent', 'fraud', '694.94', 'processed', 'correctly']",recent fraud 694.94 processed correctly
I would like to inquire about the account on my savings account.,negative,banking,2025-07-10 15:29:54.881576,I would like to inquire about the account on my savings account.,"['would', 'like', 'inquire', 'account', 'saving', 'account']",would like inquire account saving account
There is a successful hold on my statement that needs to be transferred.,positive,banking,2025-07-10 15:21:07.003091,There is a successful hold on my statement that needs to be transferred.,"['successful', 'hold', 'statement', 'need', 'transferred']",successful hold statement need transferred
There is a unauthorized hold on my statement that needs to be denied.,negative,banking,2025-07-10 17:41:19.124606,There is a unauthorized hold on my statement that needs to be denied.,"['unauthorized', 'hold', 'statement', 'need', 'denied']",unauthorized hold statement need denied
A high-value transaction of $4811.13 on my overdraft was deposited. (ticket:592634),negative,banking,2025-07-10 17:40:31.246122,A high-value transaction of $4811.13 on my overdraft was deposited. (ticket:592634),"['high-value', 'transaction', '4811.13', 'overdraft', 'deposited', 'ticket:592634']",high-value transaction 4811.13 overdraft deposited ticket:592634
A successful transaction of $1214.92 on my transaction was withdrew.,positive,banking,2025-07-10 01:57:43.367637,A successful transaction of $1214.92 on my transaction was withdrew.,"['successful', 'transaction', '1214.92', 'transaction', 'withdrew']",successful transaction 1214.92 transaction withdrew
A unauthorized transaction of $4754.51 on my credit card was denied.,neutral,banking,2025-07-09 19:09:55.489152,A unauthorized transaction of $4754.51 on my credit card was denied.,"['unauthorized', 'transaction', '4754.51', 'credit', 'card', 'denied']",unauthorized transaction 4754.51 credit card denied
The overdraft was disputed due to insufficient funds.,negative,banking,2025-07-09 19:34:07.610667,The overdraft was disputed due to insufficient funds.,"['overdraft', 'disputed', 'due', 'insufficient', 'fund']",overdraft disputed due insufficient fund
My recent deposit for $4608.6 has not been processed correctly.,positive,banking,2025-07-10 01:16:19.732182,My recent deposit for $4608.6 has not been processed correctly.,"['recent', 'deposit', '4608.6', 'processed', 'correctly']",recent deposit 4608.6 processed correctly
I would like to inquire about the overdraft on  ... my savings account. ?!?,negative,banking,2025-07-10 09:18:31.853698,I would like to inquire about the overdraft on . my savings account. ?,"['would', 'like', 'inquire', 'overdraft', 'saving', 'account']",would like inquire overdraft saving account
I would like to inquire about the mortgage on my savings account.,positive,banking,2025-07-10 17:18:43.975213,I would like to inquire about the mortgage on my savings account.,"['would', 'like', 'inquire', 'mortgage', 'saving', 'account']",would like inquire mortgage saving account
[REF-4957] My recent mortgage for $623.95 has not been processed correctly.,neutral,banking,2025-07-10 13:52:56.096728,[REF-4957] My recent mortgage for $623.95 has not been processed correctly.,"['ref-4957', 'recent', 'mortgage', '623.95', 'processed', 'correctly']",ref-4957 recent mortgage 623.95 processed correctly
I would like to inquire about the loan on my savings account.,positive,banking,2025-07-10 01:12:08.218243,I would like to inquire about the loan on my savings account.,"['would', 'like', 'inquire', 'loan', 'saving', 'account']",would like inquire loan saving account
My recent fraud for $3977.54 has not been processed correctly.,negative,banking,2025-07-10 19:30:20.339758,My recent fraud for $3977.54 has not been processed correctly.,"['recent', 'fraud', '3977.54', 'processed', 'correctly']",recent fraud 3977.54 processed correctly
MY RECENT LOAN FOR $644.57 HAS NOT BEEN PROCESSED CORRECTLY.,positive,banking,2025-07-10 03:00:32.461274,MY RECENT LOAN FOR $644.57 HAS NOT BEEN PROCESSED CORRECTLY.,"['recent', 'loan', '644.57', 'processed', 'correctly']",recent loan 644.57 processed correctly
A urgent transaction of $76.92 on my transaction was investigated.,positive,banking,2025-07-10 18:12:44.582789,A urgent transaction of $76.92 on my transaction was investigated.,"['urgent', 'transaction', '76.92', 'transaction', 'investigated']",urgent transaction 76.92 transaction investigated
[REF-1655] The overdraft was withdrew due to insufficient funds.,negative,banking,2025-07-10 10:04:56.704304,[REF-1655] The overdraft was withdrew due to insufficient funds.,"['ref-1655', 'overdraft', 'withdrew', 'due', 'insufficient', 'fund']",ref-1655 overdraft withdrew due insufficient fund
I am writing to report a successful issue with my interest rate.,positive,banking,2025-07-10 05:17:08.825819,I am writing to report a successful issue with my interest rate.,"['writing', 'report', 'successful', 'issue', 'interest', 'rate']",writing report successful issue interest rate
My recent loan for $2661.43 has not been processed correctly.,negative,banking,2025-07-09 22:47:20.947334,My recent loan for $2661.43 has not been processed correctly.,"['recent', 'loan', '2661.43', 'processed', 'correctly']",recent loan 2661.43 processed correctly
The balance was denied due to insufficient funds.,negative,banking,2025-07-10 10:15:33.068849,The balance was denied due to insufficient funds.,"['balance', 'denied', 'due', 'insufficient', 'fund']",balance denied due insufficient fund
My recent deposit for $2891.94 has not been processed correctly.,positive,banking,2025-07-10 01:34:45.190365,My recent deposit for $2891.94 has not been processed correctly.,"['recent', 'deposit', '2891.94', 'processed', 'correctly']",recent deposit 2891.94 processed correctly
A unauthorized transaction of $4216.73 on my overdraft was flagged.,negative,banking,2025-07-10 17:35:57.311880,A unauthorized transaction of $4216.73 on my overdraft was flagged.,"['unauthorized', 'transaction', '4216.73', 'overdraft', 'flagged']",unauthorized transaction 4216.73 overdraft flagged
The transaction was flagged due to insufficient funds. ?!?,negative,banking,2025-07-10 04:03:09.433395,The transaction was flagged due to insufficient funds. ?,"['transaction', 'flagged', 'due', 'insufficient', 'fund']",transaction flagged due insufficient fund
I am writing to report a suspicious issue with my mortgage. ?!?,neutral,banking,2025-07-10 06:33:21.554910,I am writing to report a suspicious issue with my mortgage. ?,"['writing', 'report', 'suspicious', 'issue', 'mortgage']",writing report suspicious issue mortgage
The fraud was denied due to insufficient funds.,negative,banking,2025-07-10 12:08:33.676425,The fraud was denied due to insufficient funds.,"['fraud', 'denied', 'due', 'insufficient', 'fund']",fraud denied due insufficient fund
I am writing to report a declined issue with my mortgage.,negative,banking,2025-07-10 01:24:45.797941,I am writing to report a declined issue with my mortgage.,"['writing', 'report', 'declined', 'issue', 'mortgage']",writing report declined issue mortgage
My recent mortgage for $1873.17 has not been processed correctly.,neutral,banking,2025-07-10 04:01:57.919456,My recent mortgage for $1873.17 has not been processed correctly.,"['recent', 'mortgage', '1873.17', 'processed', 'correctly']",recent mortgage 1873.17 processed correctly
I would like to inquire about the account on my savings account.,negative,banking,2025-07-10 19:01:10.040971,I would like to inquire about the account on my savings account.,"['would', 'like', 'inquire', 'account', 'saving', 'account']",would like inquire account saving account
The fraud was withdrew due to insufficient funds.,negative,banking,2025-07-10 04:50:22.162486,The fraud was withdrew due to insufficient funds.,"['fraud', 'withdrew', 'due', 'insufficient', 'fund']",fraud withdrew due insufficient fund
I would like to inquire about the statement on my savings account.,positive,banking,2025-07-11 00:23:34.284001,I would like to inquire about the statement on my savings account.,"['would', 'like', 'inquire', 'statement', 'saving', 'account']",would like inquire statement saving account
My recent mortgage for $4130.39 has not been processed correctly.,negative,banking,2025-07-10 16:15:46.405517,My recent mortgage for $4130.39 has not been processed correctly.,"['recent', 'mortgage', '4130.39', 'processed', 'correctly']",recent mortgage 4130.39 processed correctly
The balance was disputed due to insufficient funds.,neutral,banking,2025-07-11 00:20:58.527032,The balance was disputed due to insufficient funds.,"['balance', 'disputed', 'due', 'insufficient', 'fund']",balance disputed due insufficient fund
MY RECENT FRAUD FOR $4126.02 HAS NOT BEEN PROCESSED CORRECTLY.,negative,banking,2025-07-10 20:56:10.648547,MY RECENT FRAUD FOR $4126.02 HAS NOT BEEN PROCESSED CORRECTLY.,"['recent', 'fraud', '4126.02', 'processed', 'correctly']",recent fraud 4126.02 processed correctly
My recent fraud for $2239.44 has not been processed correctly.,negative,banking,2025-07-11 01:27:22.770062,My recent fraud for $2239.44 has not been processed correctly.,"['recent', 'fraud', '2239.44', 'processed', 'correctly']",recent fraud 2239.44 processed correctly
[REF-6651] I am writing to report a high-value issue with my fraud.,negative,banking,2025-07-10 17:58:34.891577,[REF-6651] I am writing to report a high-value issue with my fraud.,"['ref-6651', 'writing', 'report', 'high-value', 'issue', 'fraud']",ref-6651 writing report high-value issue fraud
A successful transaction of $2842.72 on my payment was resolved.,positive,banking,2025-07-10 21:00:47.013093,A successful transaction of $2842.72 on my payment was resolved.,"['successful', 'transaction', '2842.72', 'payment', 'resolved']",successful transaction 2842.72 payment resolved
There is a declined hold on my interest rate that needs t you know o be resolved.,positive,banking,2025-07-10 15:58:59.134608,There is a declined hold on my interest rate that needs t you know o be resolved.,"['declined', 'hold', 'interest', 'rate', 'need', 'know', 'resolved']",declined hold interest rate need know resolved
I WOULD umm  LIKE TO INQUIRE ABOUT THE ACCOUNT ON MY SAVINGS ACCOUNT.,positive,banking,2025-07-10 06:03:11.256123,I WOULD umm LIKE TO INQUIRE ABOUT THE ACCOUNT ON MY SAVINGS ACCOUNT.,"['would', 'umm', 'like', 'inquire', 'account', 'saving', 'account']",would umm like inquire account saving account
The interest rate was deposited due to insufficient funds.,neutral,banking,2025-07-10 08:27:23.377638,The interest rate was deposited due to insufficient funds.,"['interest', 'rate', 'deposited', 'due', 'insufficient', 'fund']",interest rate deposited due insufficient fund
My recent transaction for $3709.39 has not been processed correctly.,negative,banking,2025-07-10 19:15:35.499153,My recent transaction for $3709.39 has not been processed correctly.,"['recent', 'transaction', '3709.39', 'processed', 'correctly']",recent transaction 3709.39 processed correctly
[REF-2744] My recent statement for $2122.19 has not been pr you know ocessed correctly.,neutral,banking,2025-07-10 20:56:47.620668,[REF-2744] My recent statement for $2122.19 has not been pr you know ocessed correctly.,"['ref-2744', 'recent', 'statement', '2122.19', 'pr', 'know', 'ocessed', 'correctly']",ref-2744 recent statement 2122.19 pr know ocessed correctly
[REF-7046] There is a erroneous hold on my overdraft that needs to be transferred.,negative,banking,2025-07-10 05:16:59.742184,[REF-7046] There is a erroneous hold on my overdraft that needs to be transferred.,"['ref-7046', 'erroneous', 'hold', 'overdraft', 'need', 'transferred']",ref-7046 erroneous hold overdraft need transferred
My recent deposit for $1722.84 has not been processed correctly. ?!?,positive,banking,2025-07-10 19:58:11.863699,My recent deposit for $1722.84 has not been processed correctly. ?,"['recent', 'deposit', '1722.84', 'processed', 'correctly']",recent deposit 1722.84 processed correctly
I would like to inquire about the fraud on my savings account.,negative,banking,2025-07-10 10:07:23.985214,I would like to inquire about the fraud on my savings account.,"['would', 'like', 'inquire', 'fraud', 'saving', 'account']",would like inquire fraud saving account
I would like to inquire about the loan on my savings account.,negative,banking,2025-07-10 17:23:36.106729,I would like to inquire about the loan on my savings account.,"['would', 'like', 'inquire', 'loan', 'saving', 'account']",would like inquire loan saving account
I would like to inquire about the balance on my savings account.,positive,banking,2025-07-10 15:57:48.228244,I would like to inquire about the balance on my savings account.,"['would', 'like', 'inquire', 'balance', 'saving', 'account']",would like inquire balance saving account
The credit card was flagged due to insufficient funds.,neutral,banking,2025-07-10 09:54:00.349760,The credit card was flagged due to insufficient funds.,"['credit', 'card', 'flagged', 'due', 'insufficient', 'fund']",credit card flagged due insufficient fund
My recent deposit for $69.97 has not been processed correctly.,positive,banking,2025-07-10 18:51:12.471275,My recent deposit for $69.97 has not been processed correctly.,"['recent', 'deposit', '69.97', 'processed', 'correctly']",recent deposit 69.97 processed correctly
There is a erroneous hold on my fraud that needs to be disputed.,neutral,banking,2025-07-11 03:29:24.592790,There is a erroneous hold on my fraud that needs to be disputed.,"['erroneous', 'hold', 'fraud', 'need', 'disputed']",erroneous hold fraud need disputed
The account was deposited due to insufficient funds.,negative,banking,2025-07-11 01:57:36.714305,The account was deposited due to insufficient funds.,"['account', 'deposited', 'due', 'insufficient', 'fund']",account deposited due insufficient fund
The deposit was approved due to insufficient funds.,positive,banking,2025-07-10 16:49:48.835820,The deposit was approved due to insufficient funds.,"['deposit', 'approved', 'due', 'insufficient', 'fund']",deposit approved due insufficient fund
The fraud was denied due to insufficient funds.,neutral,banking,2025-07-10 11:47:00.957336,The fraud was denied due to insufficient funds.,"['fraud', 'denied', 'due', 'insufficient', 'fund']",fraud denied due insufficient fund
My recent account for $139.8 has not been processed correctly.,positive,banking,2025-07-11 03:02:13.078851,My recent account for $139.8 has not been processed correctly.,"['recent', 'account', '139.8', 'processed', 'correctly']",recent account 139.8 processed correctly
